 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001     123       0  rtu1230                0.000       0.000       4.500       1.071       0.000       0.000            0.000            0.181          374.715            5.154           29.245           47.180           20.015            0.000            0.000
   365    12    31  2001     124       0  rtu1240                0.000       0.000       3.069       0.004       0.000       0.000            0.000           43.953          366.858            4.811           28.573           26.504            9.436            0.000            0.000
   365    12    31  2001     125       0  rtu1250                0.000       0.000       7.357       4.144       0.000       0.000            0.000           27.217          191.162            2.362           15.132            0.352           35.590            0.000            0.000
   365    12    31  2001     126       0  rtu1260                0.000       0.000       7.284       4.343       0.000       0.000            0.000           32.985          266.298            3.595           20.936           11.978           37.319            0.000            0.000
   365    12    31  2001     127       0  rtu1270                0.000       0.000       9.008       5.557       0.000       0.000            0.000           57.504          484.096            6.788           37.823           47.449           38.211            0.000            0.000
   365    12    31  2001     128       0  rtu1280                0.000       0.000       6.289       3.748       0.000       0.000            0.000           11.452          177.157            2.425           14.025            0.355           37.156            0.000            0.000
   365    12    31  2001     129       0  rtu1290                0.000       0.000       6.995       3.950       0.000       0.000            0.000           16.732          183.962            2.393           14.563            0.354           36.351            0.000            0.000
   365    12    31  2001     130       0  rtu1300                0.000       0.000       5.389       2.048       0.000       0.000            0.000          114.692          455.606            5.823           35.444           45.761           11.154            0.000            0.000
   365    12    31  2001     131       0  rtu1310                0.000       0.000       6.791       3.869       0.000       0.000            0.000           15.180          181.302            2.406           14.353            0.356           36.588            0.000            0.000
   365    12    31  2001     132       0  rtu1320                0.000       0.000       2.871      -0.619       0.000       0.000            0.000            1.587          338.429            4.553           26.425           27.006           20.015            0.000            0.000
   365    12    31  2001     133       0  rtu1330                0.000       0.000       7.138       4.072       0.000       0.000            0.000           17.417          233.033            3.215           18.361            9.559           37.230            0.000            0.000
   365    12    31  2001     134       0  rtu1340                0.000       0.000       2.932      -0.695       0.000       0.000            0.000           18.317          328.350            4.526           25.599           16.295           13.713            0.000            0.000
   365    12    31  2001     135       0  rtu1350                0.000       0.000       2.658      -0.648       0.000       0.000            0.000           26.713          342.005            4.524           26.658           11.419           10.973            0.000            0.000
   365    12    31  2001     136       0  rtu1360                0.000       0.000       2.636      -0.655       0.000       0.000            0.000            3.156          333.719            4.568           26.025           13.223           11.724            0.000            0.000
   365    12    31  2001     137       0  rtu1370                0.000       0.000       2.681       0.069       0.000       0.000            0.000          103.296          388.334            4.907           30.180           25.667            1.104            0.000            0.000
   365    12    31  2001     138       0  rtu1380                0.000       0.000       9.004       5.453       0.000       0.000            0.000          133.581          608.973            8.079           47.339          102.186           11.925            0.000            0.000
   365    12    31  2001     139       0  rtu1390                0.000       0.000       8.444       4.853       0.000       0.000            0.000           42.290          330.869            4.418           25.952           22.564           36.803            0.000            0.000
   365    12    31  2001     140       0  rtu1400                0.000       0.000       3.889      -0.560       0.000       0.000            0.000            0.069          328.292            4.625           25.690           30.110           25.340            0.000            0.000
   365    12    31  2001     141       0  rtu1410                0.000       0.000       1.685      -0.741       0.000       0.000            0.000           24.587          338.709            4.529           26.347            0.088            1.192            0.000            0.000
   365    12    31  2001     142       0  rtu1420                0.000       0.000       3.390      -0.632       0.000       0.000            0.000            0.115          325.432            4.593           25.424           23.292           19.602            0.000            0.000
   365    12    31  2001     143       0  rtu1430                0.000       0.000       2.477      -0.705       0.000       0.000            0.000           31.888          340.041            4.472           26.472            8.614            8.065            0.000            0.000
   365    12    31  2001     144       0  rtu1440                0.000       0.000       3.898      -0.557       0.000       0.000            0.000            0.069          329.244            4.618           25.762           30.107           25.330            0.000            0.000
   365    12    31  2001     145       0  rtu1450                0.000       0.000       3.880      -0.563       0.000       0.000            0.000            0.069          327.612            4.630           25.638           30.106           25.328            0.000            0.000
   365    12    31  2001     146       0  rtu1460                0.000       0.000       4.436      -0.405       0.000       0.000            0.000           84.274          364.324            4.411           28.471           30.777           25.320            0.000            0.000
   365    12    31  2001     147       0  rtu1470                0.000       0.000       4.190       1.161       0.000       0.000            0.000          146.550          445.201            5.485           34.579           34.953            1.228            0.000            0.000
   365    12    31  2001     148       0  rtu1480                0.000       0.000       2.582      -0.627       0.000       0.000            0.000           39.360          347.154            4.497           27.052            9.440            9.314            0.000            0.000
   365    12    31  2001     149       0  rtu1490                0.000       0.000       2.050      -0.703       0.000       0.000            0.000           50.392          348.590            4.482           27.124            2.096            3.887            0.000            0.000
   365    12    31  2001     150       0  rtu1500                0.000       0.000      11.099       6.194       0.000       0.000            0.000          295.539          670.231            7.766           52.040          100.266            9.161            0.000            0.000
   365    12    31  2001     151       0  rtu1510                0.000       0.000      13.227       7.285       0.000       0.000            0.000          181.654          638.436            7.783           49.780           48.460           37.107            0.000            0.000
   365    12    31  2001     152       0  rtu1520                0.000       0.000       6.945       3.904       0.000       0.000            0.000           19.159          183.680            2.396           14.541            0.354           36.464            0.000            0.000
   365    12    31  2001     153       0  rtu1530                0.000       0.000       6.365       3.809       0.000       0.000            0.000           15.228          179.493            2.416           14.210            0.357           36.742            0.000            0.000
   365    12    31  2001     154       0  rtu1540                0.000       0.000       6.468       2.837       0.000       0.000            0.000          233.736          534.728            6.246           41.499           65.281            1.426            0.000            0.000
   365    12    31  2001     155       0  rtu1550                0.000       0.000       6.450       3.601       0.000       0.000            0.000            8.545          174.027            2.440           13.778            0.346           37.696            0.000            0.000
   365    12    31  2001     156       0  rtu1560                0.000       0.000       1.829      -0.725       0.000       0.000            0.000            0.066          330.237            4.595           25.720            1.792            3.807            0.000            0.000
