 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2006       4      40  aqu040                   47.780          2.999        350.048         80.539         18.250         11.499          8.311          0.000          0.000          0.000          2.175          0.000          1.139          0.434         47.780          0.000         47.780
   365    12    31  2006       5      50  aqu050                   24.987          3.013        349.354         55.813         18.250         11.499          5.336          0.000          0.000          0.000          1.200          0.000          0.382          0.279         24.987          0.000         24.987
   365    12    31  2006       6      60  aqu060                    4.870          3.058        347.095         34.595         18.250         11.868          5.160          0.000          0.000          0.000          1.179          0.000          0.069          0.272          4.870          0.000          4.870
   365    12    31  2006       7      70  aqu070                   76.201          2.969        351.543        107.581         18.250         11.868          8.328          0.000          0.000          0.000          2.717          0.000          1.804          0.433         76.201          0.000         76.201
   365    12    31  2006       8      80  aqu080                   74.048          2.969        351.531        105.650         18.250         11.868          8.892          0.000          0.000          0.000          2.804          0.000          1.869          0.462         74.048          0.000         74.048
   365    12    31  2006       9      90  aqu090                   13.313          3.042        347.882         45.490         18.250         11.499          4.148          0.000          0.000          0.000          0.880          0.000          0.158          0.218         13.313          0.000         13.313
   365    12    31  2006      10     100  aqu100                   53.861          2.991        350.462         82.716         18.250         11.030          4.466          0.000          0.000          0.000          1.237          0.000          0.690          0.233         53.861          0.000         53.861
   365    12    31  2006      11     110  aqu110                    6.988          3.057        347.134         38.010         18.250         11.499          3.566          0.000          0.000          0.000          0.720          0.000          0.070          0.188          6.988          0.000          6.988
   365    12    31  2006      12     120  aqu120                  125.609          2.948        352.606        156.589         18.250         11.564          9.635          0.000          0.000          0.000          4.109          0.000          3.438          0.499        125.609          0.000        125.609
   365    12    31  2006      13     130  aqu130                   94.318          2.964        351.795        123.749         18.250         11.030          6.377          0.000          0.000          0.000          2.253          0.000          1.715          0.331         94.318          0.000         94.318
   365    12    31  2006      14     140  aqu140                  132.387          2.941        352.929        163.516         18.250         11.564         12.678          0.000          0.000          0.000          5.505          0.000          4.769          0.656        132.387          0.000        132.387
   365    12    31  2006      15     150  aqu150                  109.255          2.952        352.395        139.271         18.250         11.564          7.575          0.000          0.000          0.000          2.986          0.000          2.353          0.393        109.255          0.000        109.255
   365    12    31  2006      16     160  aqu160                   96.952          2.961        351.949        127.121         18.250         11.564          8.757          0.000          0.000          0.000          3.184          0.000          2.416          0.455         96.952          0.000         96.952
   365    12    31  2006      17     170  aqu170                  107.384          2.953        352.345        138.567         18.250         11.868          9.390          0.000          0.000          0.000          3.659          0.000          2.864          0.487        107.384          0.000        107.384
   365    12    31  2006      18     180  aqu180                   91.351          2.967        351.649        121.756         18.250         11.499         13.370          0.000          0.000          0.000          4.615          0.000          3.479          0.695         91.351          0.000         91.351
   365    12    31  2006      19     190  aqu190                   89.508          2.967        351.635        120.695         18.250         11.868         11.311          0.000          0.000          0.000          3.838          0.000          2.884          0.588         89.508          0.000         89.508
   365    12    31  2006      20     200  aqu200                  149.251          2.925        353.736        181.513         18.250         11.499         15.530          0.000          0.000          0.000          7.439          0.000          6.568          0.802        149.251          0.000        149.251
   365    12    31  2006      21      17  aqu_deep17                0.000         16.039       2518.826         18.250          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2007       1      10  aqu010                  102.291          2.957        352.144        134.772         18.250         11.747         10.132          0.000          0.000          0.000          3.395          0.000          2.947          0.526        102.291          0.000        102.291
   365    12    31  2007       2      20  aqu020                   88.223          2.965        351.761        115.732         18.250         11.747         11.560          0.000          0.000          0.000          3.557          0.000          2.894          0.600         88.223          0.000         88.223
   365    12    31  2007       3      30  aqu030                   98.684          2.956        352.196        130.285         18.250         11.747         10.629          0.000          0.000          0.000          3.405          0.000          2.983          0.551         98.684          0.000         98.684
   365    12    31  2007       4      40  aqu040                   53.830          2.979        351.049         82.998         18.250         11.747          8.771          0.000          0.000          0.000          2.003          0.000          1.344          0.456         53.830          0.000         53.830
   365    12    31  2007       5      50  aqu050                   26.839          2.996        350.185         56.336         18.250         11.747          5.798          0.000          0.000          0.000          1.098          0.000          0.443          0.302         26.839          0.000         26.839
