 LLYFNI2                  
  SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2010     454    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     455    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     456    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     457    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     458    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     459    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     460    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     461    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     462    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     463    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     464    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     465    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     466    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     467    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     468    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     470    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     471    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     472    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     474    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     475    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     476    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     477    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     478    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     479    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     480    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     481    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     482    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     483    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     484    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     485    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     486    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     487    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     488    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     489    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     490    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     491    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     492    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     493    past                        0.000       0.000       0.000       0.000
