 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001    183       0  rtu1830                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    184       0  rtu1840                0.000       0.004       0.000       0.002       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    185       0  rtu1850                0.004       0.042       0.003       0.063       0.000       0.009       0.000       0.000       0.000
    365    12    31  2001    186       0  rtu1860                0.017       0.133       0.009       0.024       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    187       0  rtu1870                0.014       0.143       0.011       0.054       0.000       0.009       0.000       0.000       0.000
    365    12    31  2001    188       0  rtu1880                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    189       0  rtu1890                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    190       0  rtu1900                0.086       0.245       0.031       0.103       0.000       0.037       0.000       0.002       0.000
    365    12    31  2001    191       0  rtu1910                0.000       0.002       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    192       0  rtu1920                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    193       0  rtu1930                0.064       0.177       0.023       0.107       0.000       0.034       0.000       0.001       0.000
    365    12    31  2001    194       0  rtu1940                0.001       0.020       0.002       0.084       0.000       0.011       0.000       0.000       0.000
    365    12    31  2001    195       0  rtu1950                0.033       0.092       0.012       0.081       0.000       0.025       0.000       0.001       0.000
    365    12    31  2001    196       0  rtu1960                0.119       0.332       0.043       0.145       0.000       0.043       0.000       0.003       0.000
    365    12    31  2001    197       0  rtu1970                0.095       0.267       0.035       0.153       0.000       0.043       0.000       0.002       0.000
    365    12    31  2001    198       0  rtu1980                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    199       0  rtu1990                0.009       0.102       0.006       0.248       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    200       0  rtu2000                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    201       0  rtu2010                0.014       0.037       0.005       0.018       0.000       0.006       0.000       0.000       0.000
    365    12    31  2001    202       0  rtu2020                0.003       0.010       0.001       0.039       0.000       0.011       0.000       0.000       0.000
    365    12    31  2001    203       0  rtu2030                0.115       1.602       0.097       0.886       0.000       0.025       0.000       0.005       0.000
